"line","speaker","text"
"0","A","so it's getting good sounds I'm going to turn it up okay so let's just see how this goes so erm I I think that he had a very rounded message that er had some interesting things in it that one could explore</u>"
"1","B","mm</u>"
"0","A","and you know when you see some of his pictures and think erm you know with <unclear>Jenny's</unclear> interest in in <unclear>laser</unclear> and that kind of thing</u>"
"3","B","mm</u>"
"0","A","and outfit that she works with him for but erm I would have thought in some kind of fashion erm they have an interest in all that kind of stuff that kind of exposure and presumably they come across these people</u>"
"5","B","mm</u>"
"0","A","erm <pause dur=""long""/> I'll be <unclear/> surprised if it's all done in isolation</u>"
"7","B","I mean it's a network isn't it?</u>"
"8","A","mm</u>"
"7","B","so I think they actually call it network in the title</u>"
"10","A","they call it traffic one's called traffic and the other one's erm <pause dur=""long""/> erm trace network</u>"
"11","B","mm</u>"
"0","A","mm <unclear>I'm writing this down this is just shocking</unclear> <pause dur=""long""/></u>"
"13","B","this is exactly why I said do you want to sit here?</u>"
"14","A","oh did you see that coming? <pause dur=""long""/></u>"
"0","B","yeah so anyway it's all gonna be on your <vocal desc=""laugh""/></u>"
"16","A","mm</u>"
"0","B","on your <vocal desc=""laugh""/></u>"
"18","A","I'm interested to see how it pans out</u>"
"19","B","mm</u>"
"0","A","so I mean the idea of following along with someone who does that type of thing and a kind of a erm well a photo journalist way or something like that</u>"
"21","B","I wonder if he works in <unclear/> geography or their their people do</u>"
"22","A","yeah</u>"
"21","B","cos they must have they must have <trunc>pho</trunc>photos cos that would be one way of documenting their work</u>"
"24","A","mm I check I checked out erm Trafford the other day erm <pause dur=""short""/> and <pause dur=""short""/> it's it's a network that it's it's been around for a while and it's global erm and so that kind of area is run out of <unclear>K A</unclear></u>"
"25","B","mm</u>"
"24","A","erm and then there's the Traceman Group and and that is run out of Edinburgh erm and and that is more of a kind of a scientific basis thing DNA tracking and stuff like that I I presume of of species and wildlife traffic and stuff like that</u>"
"27","B","yeah</u>"
"24","A","so erm how how it works I can't imagine that they've got any particular powers to do anything they probably have they probably document evidence in some context which then they put forward erm so that one just seems quite er it's like one particular guy and he seems to be the man who the Traceman Group it so people must work for him but he's not exposed to something else there's a a group of a lot of people <pause dur=""long""/></u>"
"0","B","I'll just see where this coffee went</u>"
"30","A","mm <pause dur=""long""/> what happened?</u>"
"31","B","oh he's gonna bring it <unclear/></u>"
"32+24","A","right <pause dur=""long""/> so what do you think? what did you think about?</u>"
"33+0","B","well erm yeah I mean you know he's erm he's an interesting talker I mean he <pause dur=""short""/> thank you</u>"
"0","A","thank you mm mm</u>"
"0","B","<unclear/></u>"
"34","A","I think <unclear/></u>"
"33","B","no I think<unclear/> because I want to get his message out there erm I wonder how he actually <unclear>managed</unclear> the whole you know National <trunc>Geoja</trunc>Geographic got its own editorial staff it does what it does</u>"
"38","A","well he he kind of made that clear</u>"
"39","B","yeah</u>"
"38","A","that it's conservative that</u>"
"33","B","and maybe his way of you know fighting to find an audience finding out who is <unclear/> his stuff I mean there was quite a lot of people there today</u>"
"42","A","mm</u>"
"33","B","so</u>"
"44","A","yeah</u>"
"0","B","mm but other than that it's appears like well does he go to school does he go to? I mean how does he what what else does he do to support his kind of message? <unclear/> you know like how does he communicate to a big big audience a worldwide audience? that's not a National Geographic you know cos otherwise</u>"
"46","A","yeah well I mean the work that he does is I mean sure he does assignments for National Geographic but he he's effectively his own man he's effectively freelance I would have thought</u>"
"47","B","yeah</u>"
"46","A","he's not owned by the magazine he's not working for the magazine</u>"
"49","B","no so he's he's basically he's you know he's a freelancer</u>"
"50","A","mm</u>"
"49","B","but I mean yeah he'll be taking commissions now I would have have thought that is up his street</u>"
"52","A","yes</u>"
"49","B","so he chooses kind of what he thinks is the right kind of assignment for him</u>"
"54","A","yeah mm</u>"
"49","B","but essentially they're not not fully his assignments as in is he driving that idea how is he how is he like putting it together where does that go to?</u>"
"56","A","well he's simply told I need a photo of this so he'll carry out whatever research he needs to to understand how he's going to do that with support of a logistics team and contact with <unclear/> scientists erm to get out there erm get the shot get what's important for the magazine somebody else is writing a story about it they could be working with him they could be independent they could be operating out of a library they could be at a university talking to scientists I don't know erm but it would kind of make sense that somehow the people he's working with and people who are writing the story</u>"
"57","B","well I suppose he writes his books doesn't him? that's how he communicates with the with with the</u>"
"58","A","yeah and clearly you can see that erm by doing these kind of forums and things like that he's probably thinking longer term that he can't be out doing hefty assignments all of the time and his message kind of sounds like he doesn't like being away from his family but he's doing it</u>"
"59","B","mm</u>"
"58","A","so he has to balance that whether they're here now with him or not I don't know but</u>"
"61","B","well I don't think he was cos he said we're going to <unclear>can't really</unclear> come back because of them so</u>"
"62","A","mm</u>"
"63","B","yeah</u>"
"61","A","I suppose the assignments themselves can be for months on end you know they could be a long journey mm</u>"
"65","B","I mean he had he he didn't really talk about it in in concrete terms but you get the impression that he could be away you're right it's not just about being away for a month he could be away for months but you know his wife gets to go with him on some occasions but then who's looking after the kids and that kind of thing but then he he said kids do go with him sometimes so</u>"
"66","A","mm</u>"
"65","B","wherever he can he's making a <unclear/> but also there's risks attached to that because just as he gets Dengue fever and blah blah blah and so could the kids so</u>"
"68","A","yeah exactly <pause dur=""short""/> he takes on some considerable risks</u>"
"69","B","he does erm and I think that's probably what I admire most about him is that he's a dedicated risk taker</u>"
NA,"C","<vocal desc=""laugh""/></u>"
"69","B","he's committed to taking risks I like that</u>"
"72","A","to get what what matters yeah mm <unclear>the shot</unclear></u>"
"73","B","someone's gotta to do it it's him and people like him</u>"
"74","A","mm yeah</u>"
"73","B","<unclear>like</unclear> you if you wanted to</u>"
"76","A","oh you won't find me climbing up a a a sixty-foot tree with no ropes</u>"
"77","B","I don't think you'd find me <unclear/> tree <unclear/></u>"
"78","A","and you won't find me sitting on top of a hot air balloon</u>"
"79","B","<vocal desc=""laugh""/></u>"
"78","A","when it's really hot</u>"
