"line","speaker","text"
1,"A","how was your shower?"
2,"B","it was good"
3,"A","were you <pause> doing stuff?"
4,"B","no <pause> no no"
5,"A","oh"
6,"B","just literally washing"
7,"A","it just <pause> it just took you a while that's all"
8,"B","I shaved everywhere"
9,"A","ah"
10,"B","felt so good"
11,"A","I don't like shaving down there cos I just get a rash and it's horrible"
12,"B","really? oh wow I did a really good job of that <pause> I can still see all the little <pause> well they're only little blonde hairs but they"
13,"A","I can't see anything"
14,"B","never come off easily <pause> have to literally scrape them off <pause>"
15,"A","<sigh> it's a beautiful day"
16,"B","mm"
17,"A","it's gonna be a thunderstorm on Monday <pause> but I don't know what time that's gonna be I'll have a look and see if it'll tell me at <pause> oh it's gonna be cloudy tomorrow <pause> oh"
18,"B","erm he's always erm <name> said that erm <pause> the people who like predict the weather are having a hard time this year because the weather's been changing so quick and it's been so unpredictable that they've had a really hard time actually"
19,"A","yeah"
20,"B","apart from like the past few weeks because it's been back to how it's <pause> you know"
21,"A","yeah well"
22,"B","usually like if you say there's gonna be a storm then it is but lately they've been like it's gonna be really really nice and then it's just like been raining and freak hailstorms and stuff"
23,"A","well erm <pause> it says from three o'clock today it's gonna be cloudy"
24,"B","I don't believe that"
25,"A","so"
26,"B","I genuinely don't believe that"
27,"A","it says <pause> er it says <pause> let me just have a look <pause> montreal erm at three o'clock is gonna be clouds"
28,"B","it is Montreal France right and not Canada?"
29,"A","yeah Montreal <pause>"
30,"A","chance of rain two percent"
31,"B","Mont Blanc the tallest mountain in France"
32,"A","mm"
33,"B","so there's been <pause> so like literally wi a ridiculous amount less of accidents erm <pause> this year <pause> people climbing it but it's because there's been like half the amount of people that usually climb it cos of how bad the weather is like"
34,"A","yeah"
35,"B","they don't trust it"
36,"A","yeah"
37,"B","so that's why there's been loads less accidents because there's loads less people climbing it"
38,"A","yeah <pause> well it says <pause> toda right from three o'clock today it's gonna be cloudy <pause> and it's gonna be cloudy tomorrow but on Saturday Sunday Monday Tuesday it's gonna be thirty and above"
39,"B","shit"
40,"A","so there's not gonna be a storm on Monday anymore <pause> so if it is cloudy today and tomorrow it don't really matter like <pause> maybe we could do that thing tomorrow you know? if it is going to be cloudy <pause> but still warm we may as well do it tomorrow"
41,"B","yeah why not?"
42,"A","cos then it's not gonna be as hot"
43,"B","we need to <pause> have a look at I'll talk to dad later when he gets back about when he wants to do cleaning and stuff like that"
44,"A","yeah"
45,"B","then we can plan around that as well"
46,"A","yeah I know he wants us to do Saturday morning <pause> I think <pause> I think he said on Saturday we might have to do it"
47,"B","right well as long as if someone like <name> if he doesn't mind coming and picking me up I can come back and help you guys when I've finished"
48,"A","uhu well I can do that it won't take long to do it"
49,"B","yes it will <name>'s is massive"
50,"A","oh is it?"
51,"B","yeah it's giant it's a proper house"
52,"A","oh right"
53,"B","so"
54,"A","what do you have to do like like clean the whole thing like?"
55,"B","yeah basically and I think it's <pause> I think my mum said there was something about someone coming in for a long-term stay so"
56,"A","does your mum get paid for that then?"
57,"B","yeah yeah yeah"
58,"A","how much does she get paid?"
59,"B","erm I don't I don't know if it's like in <anon type=""place""/> but usually when she's cleaning she charges fifteen euros an hour"
60,"A","right"
61,"B","so"
62,"A","so we'd get that?"
63,"B","uhu <pause> and like because she's always like <pause> when I don't want the money or anything if I just go to help she's like yeah but <pause> I'm charging per hour anyway"
