"line","speaker","text"
1,"A","nice people oh my god he's off his head on drugs <pause>  do you know what I mean though?"
2,"B","yeah"
3,"A","so nice not to live in an awkward atmosphere"
4,"B","<yawn> <unclear>"
5,"A","oh <yawn> <pause>  I hope <anon> went to Apple and got that Iphone fixed <pause> instead of just going somewhere and like paying fifty quid or summat"
6,"B","mm <pause> <unclear> probably know the answer to that"
7,"A","mm <pause> yeah <unclear>"
8,"B","<unclear>"
9,"A","yeah <laugh> <pause> I don't know what she's gonna do with her life like?"
10,"B","as long as she doesn't annoy me it's fine"
11,"A","<laugh> <pause> as long as it doesn't involve you?"
12,"B","<laugh> <pause> so can I put my SIM from this phone into an Iphone?"
13,"A","erm is that a micro SIM?"
14,"B","I think so"
15,"A","yeah you should be able to then is that phone unlocked?"
16,"B","I don't know"
17,"A","what network were it on? do you know?"
18,"B","I don't know"
19,"A","I think it's O two your na your mum and your dad <unclear>"
20,"B","okay"
21,"A","so if you t if you erm ring O two they'll unlock the phone for you cos it's out of contract they'll do it for free"
22,"B","okay <pause> mm <pause> how many types of SIM cards are there? sizes?"
23,"A","er"
24,"B","<unclear>it might be a<unclear>  mini rather than a micro"
25,"A","three no it's not it's not a mini <pause> erm <pause> well mine's a nano SIM"
26,"B","right"
27,"A","the one up from that is micro and then the one up from that is just normal"
28,"B","right"
29,"A","I've got a nano and mine's a five <pause> fucking hell <pause> yeah it's three"
30,"B","three different sizes"
31,"A","yeah <pause> yours should be the right size though for a four"
32,"B","okay <yawn> cos it's an Iphone five that had a new different sized one?"
33,"A","yeah"
34,"B","yeah they should fit then shouldn't they?"
35,"A","yeah it'll be fine"
36,"B","good"
37,"A","if not all you have to do is go into EE or wherever you were whoever you were and you just say I need a new SIM and they'll give one with same number and everything"
38,"B","okay"
39,"A","just a different size <pause> that's the only difference <pause> only difference <unclear>  back"
40,"B","<sound of car horn> is that <anon>?"
41,"A","no it's <anon> <pause> lives at <place>"
42,"B","oh right why is he walking that way then?"
43,"A","I don't know"
44,"B","ITV <pause> iTV ITV"
45,"A","oh ITV <pause> <singing> I I T T V E E E I T V E E E V V"
46,"B","oh so tell me about your day then? <yawn>"
47,"A","erm nightmare from start to finish"
48,"B","why?"
49,"A","<unclear>"
50,"B","you said they played well"
51,"A","oh they played well they yeah game that was like seventy minutes of a ten-hour day"
52,"B","and what's been what's been tell me have a rant come on <pause> speak to me"
53,"A","erm obviously I got home last night and just had a couple of beers and just passed out literally just zonked"
54,"B","yeah"
55,"A","so then this morning someone was watching over me I promise you because after that oh shit I ain't got the drills I ain't got anything for <anon>'s thing I ain't got anything and my dad phoned me when I was in the bathroom at half eight going hiya I've got a spare battery here do you want you want it for drill? just out of nowhere and it was like oh look at the car behind us"
56,"B","oh fucking hell that's nice"
57,"A","<unclear>I wanna<unclear>  pull over so I can see it"
58,"B","okay"
59,"A","<unclear>go on baby<unclear>"
60,"B","oh it's so nice"
61,"A","Ferrari"
62,"B","go on anyway?"
63,"A","so yeah he came and dropped the drills off for me"
64,"B","awesome"
65,"A","which was nice and that made me late cos I had to wait for him <pause> and then I got all your stuff ready to take which is fine and then I realised that I hadn't had any breakfast or anything to eat <pause> so I stopped at Mcdonald's which made me an extra fifteen minutes late and then <pause> I realised I had to go and pick up four shirts and a bag of balls from <anon type=""place""/> before I could meet everyone and then park in some building that made me another fifteen minutes late <pause> and I got there go in and took the balls so a waste of time really <pause> so I got there half an hour late pissing down with rain roadworks all the way <pause> I forgot my s well I didn't forget my stick <unclear>  stick in my car so I went to the pitch and I was like oh where's my <unclear>stick<unclear> ? I left it in the car"
66,"B","so it's little niggly things it's not like something had happened to piss you off?"
67,"A","<unclear>"
68,"B","oh right the way you were carrying on I thought that fucking <pause> someone at work had done something"
69,"A","no <pause> everyone was pretty much lost though today"
70,"B","everyone was what?"
71,"A","lost"
72,"B","lost? what do you mean?"
73,"A","lost the games"
74,"B","oh right all of Leeds?"
75,"A","a lot of Leeds yeah <pause> not all of it <pause> <anon> <unclear>"
76,"B","mm <pause> <anon> the most common name in the English language"
77,"A","mm <pause> that didn't take too long I thought it was gonna take a lot longer than that <pause> <singing> <unclear>"
78,"B","a lot of traffic's died down hasn't it? rush hour traffic anyway"
79,"A","yeah"
80,"B","cos <place> is normally fucking <unclear>rammed<unclear>  isn't it?"
81,"A","mm"
82,"B","fucking taxis I hate them they always do this block up the whole of the fucking train station entrance it's like fucking move stop being cunts <pause dur=""long""/>"
83,"A","my car does not like this hill <pause> why don't they fucking pull over <unclear>down there<unclear> ?"
84,"B","they're just fucking being arseholes fucking taxi bastards I hate taxi drivers they're such cunts <pause dur=""long""/>"
85,"A","oh <pause> too warm now <pause> how has your day been?"
86,"B","<unclear>  sending <anon> er thingies walked down past KFC <pause> stop books and <unclear>"
87,"A","<unclear>could<unclear>  go in a meeting if you like?"
88,"B","not dressed like this"
89,"A","okay"
90,"B","oh right <pause> er"
91,"A","<unclear>"
92,"B","okay"
93,"A","<anon> <anon> <anon> <anon>"
94,"B","<laugh> probably <unclear>  actually calls you <unclear>  <laugh> er that she calls her boyfriend <anon> instead of <anon>"
