"line","speaker","text"
1,"A","okay"
2,"B","what's that noise?"
3,"A","the demon <laugh> is coming for you"
4,"B","<unintelligible>"
5,"A","well they do it every night come on and sit down it's only cos you've been watching a scary film that you're freaked out"
6,"B","no I'm not I'm not scared I'm just wondering what's making them all bark like that in one go"
7,"A","cos one of them'll have barked and then it'll set all the other ones off"
8,"B","and set all the other ones off yeah"
9,"A","yeah"
10,"B","they talk through the woods and the dogs to hear it and it'll set them off or like"
11,"A","mm"
12,"B","cos you know that stray dog that I told you about the erm German Shepherd?"
13,"A","mm"
14,"B","you know that dog? it's like that might have walked past and set them off it's stopped now <pause> but no that's erm <pause> I got so freaked out about my situation is cos it it all started happening after I watched this film"
15,"A","mm"
16,"B","well not all of it but it freaked me out a bit it was and that started it <pause> especially cos he really believes in the h the amount of conversations that we've had into the early hours of the morning just talking and sharing experiences and stuff cos he's had weird stuff happen to him too like he really believes in it <pause> I just don't like it"
17,"A","see I have always wanted to like <pause> record my bedroom while I'm asleep but I'm too scared of seeing what would actually happen while I were asleep"
18,"B","I agree"
19,"A","do you know what I mean? like if you did what they've done and you've recorded everything that happened"
20,"B","<gasp> shooting star oh"
21,"A","I missed it"
22,"B","oh babe"
23,"A","you fucking shit me up there like"
24,"B","oh I'm sorry"
25,"A","<laugh> what? oh my god cos you were like <laugh> you were like <gasp> and I were like oh my god what? <laugh>"
26,"B","did you hear us?"
27,"A","I did"
28,"B","yeah I saw it oh it was beautiful <pause> erm"
29,"A","<laugh> you proper shit me up then fucking hell"
30,"B","I'm sorry it's just it was beautiful"
31,"A","<laugh>"
32,"B","<laugh> sorry"
33,"A","my heart fell from my arse not even joking <laugh>"
34,"B","<laugh> I'm so sorry"
35,"A","why do I always miss them? I haven't seen one yet"
36,"B","mm <pause> should keep your eyes on the skies"
37,"A","no it's boring"
38,"B","<laugh> but no I agree like ignorance is definitely bliss"
39,"A","yeah would you really wanna know what's going on in your bedroom when you were asleep?"
40,"B","uhu"
41,"A","and then seeing it and then it freaking you out and never sleeping again?"
42,"B","especially not with the weird stuff that's happened"
43,"A","some weird stuff has happened to me like most of it I don't even know if it's dreams or real but I don't want to know like"
44,"B","mm"
45,"A","if I think it's a dream that makes me happy because I think well it were a dream it's not real it never really happened"
46,"B","yeah"
47,"A","and so many times my granddad's come and talked to me at the end of my bed like I don't wanna know if that's real"
48,"B","that is weird though"
49,"A","like I don't I don't wanna know once when I were about twelve I er outside my bedroom there used to be like erm the loft <pause> so it it it had erm not been converted like your attic has"
50,"B","mm"
51,"A","and th it were a board that you pushed up and then you could pull ladders down or put ladders er up"
52,"B","sorry I just wanna say do you mind talking a little bit quieter just the people in the gîte"
53,"A","no I don't mind"
54,"B","no that's okay"
55,"A","erm but yeah so erm <pause> it had not been converted or anything like that and there were like a just a door that you pushed up and moved and erm there were this there were black finger prints all over the board and like it used to freak me out all the time and I can remember having this one dream where I walked out and looked up and there were three kids like looking down at me"
56,"B","oh"
57,"A","through this thing and I don't know to this day whether it were a dream or it were real cos I were going to the toilet which were right next to the bedroom and <pause > and and even to this day I don't know if it were real or not <pause>"
58,"B","that's creepy"
59,"A","mm"
60,"B","I'd rather just say it's a bad dream"
61,"A","mm"
62,"B","it's like earlier on I was trying to tell my dad and stuff like <pause> I could tell he wasn't really listening"
63,"A","<laugh>"
