"line","speaker","text"
1,"A","yep <pause>  I think so"
2,"B","I'm not gonna try and do a three point turn"
3,"A","<laugh> A shuffly turn <pause>  there is actually an entrance just there <pause>  you could"
4,"B","I know"
5,"A","you know"
6,"B","oh that's secure underground parking"
7,"A","mm <pause>  there's quite a lot of people work just round here where and nobody really knows that there's stuff round here <pause>  cos there's a government office as well <pause>  and us obviously <pause>  and the the building there"
8,"B","hm <pause>  yeah"
9,"A","um <pause>  yeah"
10,"B","mm"
11,"A","oo <pause>  there you go"
12,"B","ah <pause>  well that was yeah"
13,"A","yeah it was good <pause>  it was diverting"
14,"B","I do love coming out of a cinema  It's so cosmopolitan"
15,"A","I guess"
16,"B","mm"
17,"A","can you actually affect the volume on this from here?"
18,"B","yeah"
19,"A","um <pause>  yeah it was good <pause>  I enjoyed it"
20,"B","mm"
21,"A","and I was surprised actually <pause>  there were other jokes other than the one where she landed in in his lap"
22,"B","yes"
23,"A","<laugh>"
24,"B","when you say she landed on his lap that implies she was sitting in it"
25,"A","mm <pause>  yeah her face landed <laugh> in his lap slash crotch <pause>  <laugh>"
26,"B","mm"
27,"A","<anon>  might've enjoyed it <pause>  did he not seem er did he not seem keen?"
28,"B","no <pause>  not so much <pause>  Yeah <pause>  he said he had a lot of stuff to get sorted and he needed to do it that weekend so"
29,"A","mm <pause>  yeah"
30,"B","apparently he's got a deadline at work like middle of next week"
31,"A","yeah"
32,"B","I was like <anon>  they're paying you shit and yet you're still"
33,"A","yeah like"
34,"B","pulling these hours"
35,"A","yeah insane hours <pause>  and he's not even"
36,"B","why?"
37,"A","like particularly you wouldn't have thought he was particularly senior or particularly key to need to be pulling eleven hour days <pause>  like"
38,"B","mm"
39,"A","do you know what I mean? You wonder if it's because he hasn't actually done anything at work for a week"
40,"B","yeah"
41,"A","which is"
42,"B","but"
43,"A","kinda scary <pause>  <laugh>"
44,"B","but surely he's like he is still a consultant essentially <pause>  it's still a consultancy model"
45,"A","mm"
46,"B","so he'll be booking time on a time sheet"
47,"A","<laugh> Yeah"
48,"B","he's like"
49,"A","yeah <pause>  so there's only er you know"
50,"B","well I have really unproductive days but that's mainly cos of research <pause>  it is sometimes"
51,"A","yeah but you"
52,"B","unproductive"
53,"A","well exactly <pause>  yeah <pause>  sometimes you spend ages on something and it doesn't really work or whatever <pause>  but yeah sitting not doing anything is a different matter I guess"
54,"B","mm"
55,"A","mm <pause>  no that's no fun <pause>  I like my no stress job"
56,"B","yes"
57,"A","<laugh>"
58,"B","many people would like your no stress job"
59,"A","<laugh>"
60,"B","is it a very good job?"
61,"A","it's a very good job <pause>  oh I had a ni my nice free lunch today <pause>  there is such a thing as a free lunch <pause>  <laugh> It was very pleasant <pause> Ah quiet Wednesday night  <yawn> It was very nice"
62,"B","it was"
63,"A","hm?"
64,"B","oo"
65,"A","nice ni oo <pause>  shit <pause>  <laugh> God <pause>  that's why you don't cycle across red lights <pause>  sometimes"
66,"B","that's why you <unclear> right"
67,"A","yes <pause>  <laugh> There might be cyclists just huh <pause>  I love the way they look as if to be like what are you doing? <laugh> Oh my God <pause>  never mind"
68,"B","<unclear>"
69,"A","<laugh>"
70,"B","if I'd been a bit quicker I could've I'm almost considering ramming <unclear> and thought hang on a second"
71,"A","<laugh>"
72,"B","that's just called murder <pause>  <laugh>"
73,"A","<laugh> Yeah <pause>  that's called chipping the paintwork I think"
74,"B","oh yeah <pause>  <laugh> Good point"
75,"A","more critically <pause>  <laugh>"
76,"B","you see the thing is"
77,"A","you er ring your dad up <pause>  hi dad I'm in prison <pause>  just run over a cyclist <pause>  oh my God what's happened to the car?"
78,"C","<laugh>"
79,"A","that'd be quite funny"
80,"B","you see the thing is if I had hit him that would've been so easy"
81,"A","it would be your fault"
82,"B","to explain to the poli no no it"
83,"A","<laugh>"
84,"B","wouldn't have been <pause>  I'm I'm sorry um here's my IAM ticket <pause>  um he just came out of nowhere full speed"
85,"A","mm"
86,"B","he was wearing black"
87,"A","yeah"
88,"B","no lights"
89,"A","he didn't have lights on did he"
90,"B","he might've done <pause>  but"
91,"A","yeah"
92,"B","you wouldn't see them cos we were perpendicular"
93,"A","yeah"
94,"B","er"
95,"A","which is why you're not meant to cycle <unclear> in front of"
96,"B","no no"
97,"A","<laugh>"
98,"B","I just didn't you know couldn't see him"
99,"A","yeah"
100,"B","um <pause>  wouldn't have been unreasonable"
101,"A","yeah I mean he w he was entirely in the wrong"
102,"B","um <pause>  yeah <pause>  if I'd actively accelerated with the aim of hitting him"
103,"A","<laugh>"
104,"B","we might've been in a slightly different ball game"
105,"A","<laugh>"
106,"B","um"
107,"A","yeah <pause>  <laugh>"
108,"B","but it would've been difficult to prove"
109,"A","oh some people are just mental"
110,"B","the optimum would've been to hit his rear wheel"
111,"A","hm"
112,"B","sort of take him off the bike <pause>  maybe break a few things <pause>  but"
113,"A","<laugh>"
114,"B","well if I'd been thinking a bit quicker and he was a bit slower I could've gone after him down <place> Road"
115,"A","<yawn> Huh"
116,"B","boxed him in"
117,"A","<laugh>"
118,"B","explained to him in gentle civilized terms what you do not do"
119,"A","hm <pause>  yeah <pause>  what's not what it's sensible to do and what it's not sensible to do"
